Store_Ratio,Basket_Ratio,Store_Score,Score_2,Score_3,Score_4
0.703,0.8340000000000001,-5.4910000000000005,0.178,0.537,127.944
0.506,0.693,-7.265,0.0891,0.221,139.912
0.472,0.0361,-27.596,0.114,0.209,74.596
0.354,0.982,-3.026,0.204,0.1939999999999999,143.77200000000002
0.462,0.374,-12.069,0.131,0.174,122.939
0.419,0.938,-3.12,0.114,0.3329999999999999,160.151
0.497,0.757,-4.189,0.119,0.507,169.90200000000002
0.889,0.863,-3.011,0.0798,0.7759999999999999,112.953
0.731,0.573,-10.059,0.113,0.145,109.928
0.282,0.0901,-22.603,0.13,0.0357,74.11399999999999
0.813,0.633,-8.645,0.0462,0.154,122.006
0.0857,0.0033399999999999,-35.427,0.108,0.153,72.62100000000001
0.78,0.603,-5.766,0.347,0.807,105.979
0.433,0.0437,-24.025,0.0733,0.196,68.152
0.364,0.00547,-30.853,0.111,0.0784,64.081
0.6409999999999999,0.81,-4.516,0.28,0.805,165.86700000000002
0.41,0.2339999999999999,-15.236,0.108,0.19,93.72
0.478,0.98,-2.591,0.332,0.911,150.968
0.149,0.0994,-23.041,0.104,0.0394,138.70600000000002
0.3929999999999999,0.256,-12.95,0.28,0.0967,149.625
0.758,0.7,-8.771,0.442,0.0987,124.041
0.473,0.432,-10.362,0.119,0.1889999999999999,120.014
0.68,0.716,-3.571,0.0904,0.633,83.904
0.486,0.382,-6.183,0.149,0.1639999999999999,125.918
0.528,0.856,-4.605,0.0988,0.5720000000000001,87.01899999999999
0.3879999999999999,0.143,-17.545,0.1,0.578,182.665
0.467,0.186,-18.418,0.11,0.228,88.52
0.455,0.178,-19.848,0.165,0.386,90.969
0.0866,0.996,-20.379,0.532,0.0116,76.941
0.4429999999999999,0.8440000000000001,-5.414,0.085,0.452,76.001
0.887,0.161,-12.325,0.0765,0.0833,159.977
0.693,0.201,-9.903,0.1119999999999999,0.679,100.836
0.7440000000000001,0.823,-4.1610000000000005,0.0706,0.913,93.926
0.236,0.0164,-32.58,0.102,0.191,133.171
0.267,0.0322,-18.147,0.2319999999999999,0.0609,88.531
0.843,0.908,-3.207,0.0584,0.351,125.995
0.8759999999999999,0.685,-6.06,0.0527,0.402,100.008
0.638,0.182,-13.046,0.113,0.247,180.715
0.705,0.3279999999999999,-13.355,0.183,0.281,139.868
0.67,0.7140000000000001,-5.94,0.251,0.865,112.065
0.8420000000000001,0.488,-7.856,0.0877,0.6459999999999999,126.02
0.519,0.46,-14.53,0.243,0.675,132.082
0.503,0.967,-2.492,0.299,0.254,95.006
0.205,0.989,-4.5360000000000005,0.134,0.311,178.672
0.905,0.85,-4.83,0.0878,0.631,105.027
0.478,0.485,-12.77,0.154,0.688,171.463
0.598,0.853,-5.372999999999999,0.132,0.315,122.012
0.2019999999999999,0.153,-23.773000000000003,0.102,0.28,63.085
0.301,0.012,-32.691,0.09,0.0861,141.02700000000002
0.6509999999999999,0.628,-5.811,0.0591,0.513,150.014
0.779,0.335,-13.055,0.0839,0.807,80.071
0.613,0.642,-6.189,0.288,0.628,199.861
0.624,0.246,-16.523,0.0982,0.718,77.558
0.868,0.638,-7.746,0.0931,0.4589999999999999,126.03
0.626,0.794,-8.891,0.107,0.371,124.992
0.5,0.0923,-17.195999999999998,0.109,0.324,159.403
0.218,0.0207,-30.989,0.1,0.0901,93.7
0.598,0.809,-4.168,0.259,0.653,104.784
0.379,0.023,-29.144,0.109,0.1639999999999999,75.609
0.528,0.487,-9.214,0.1,0.0466,135.009
0.447,0.0848,-18.481,0.113,0.268,109.703
0.262,0.0557,-20.133,0.091,0.0395,108.929
0.0674,0.0319,-25.053,0.166,0.0384,67.904
0.6759999999999999,0.948,-2.628,0.0325,0.632,108.731
0.471,0.3879999999999999,-17.334,0.2189999999999999,0.0917,90.178
0.434,0.0193,-26.368,0.0946,0.327,70.875
0.318,0.508,-6.067,0.106,0.301,157.89700000000002
0.599,0.0985,-18.072,0.11,0.2739999999999999,126.251
0.812,0.506,-10.729,0.132,0.701,125.941
0.741,0.8590000000000001,-5.074,0.11,0.369,139.954
0.5720000000000001,0.534,-8.466000000000001,0.114,0.33,139.97899999999998
0.698,0.114,-18.47,0.0983,0.133,69.971
0.159,0.0578,-25.511,0.111,0.1119999999999999,70.358
0.575,0.188,-18.758,0.228,0.3339999999999999,77.464
0.351,0.8029999999999999,-7.752999999999999,0.0958,0.33,120.058
0.5920000000000001,0.877,-4.05,0.131,0.7120000000000001,117.106
0.568,0.522,-8.168,0.109,0.452,76.932
0.675,0.365,-10.887,0.0846,0.414,91.108
0.8220000000000001,0.938,-2.7,0.586,0.775,141.976
0.7759999999999999,0.763,-8.124,0.077,0.82,128.433
0.165,0.00509,-34.734,0.0992,0.0312,75.23899999999999
0.584,0.408,-11.921,0.146,0.245,79.846
0.184,0.00527,-37.264,0.173,0.151,170.612
0.586,0.208,-15.224,0.133,0.451,90.574
0.166,0.0744,-21.009,0.0742,0.0349,103.361
0.493,0.914,-5.894,0.964,0.74,91.045
0.173,0.314,-13.002,0.13,0.0722,70.335
0.631,0.597,-7.382000000000001,0.146,0.665,107.26
0.581,0.3989999999999999,-9.322,0.1689999999999999,0.183,98.025
0.48,0.602,-6.335,0.0848,0.2689999999999999,179.798
0.557,0.0671,-20.697,0.0828,0.962,83.194
0.696,0.916,-3.72,0.0593,0.974,164.032
0.177,0.384,-29.537,0.0932,0.0645,83.384
0.5429999999999999,0.5870000000000001,-3.792,0.0677,0.309,92.033
0.807,0.5489999999999999,-9.479,0.0854,0.481,99.962
0.604,0.366,-7.881,0.162,0.181,105.177
0.4479999999999999,0.00504,-27.869,0.104,0.33,133.119
0.755,0.507,-11.368,0.325,0.7170000000000001,180.083
0.862,0.804,-4.484,0.0895,0.951,125.002
0.55,0.917,-4.575,0.0333,0.245,109.552
0.598,0.636,-9.972,0.0576,0.039,120.031
0.655,0.523,-7.428999999999999,0.336,0.897,150.151
0.515,0.691,-4.0280000000000005,0.121,0.484,169.521
0.877,0.61,-7.817,0.115,0.634,135.951
0.4429999999999999,0.205,-12.685,0.0991,0.109,132.99
0.716,0.6559999999999999,-7.88,0.13,0.119,119.988
0.6729999999999999,0.1989999999999999,-12.351,0.36,0.228,123.038
0.203,0.00399,-35.638000000000005,0.111,0.0779,74.253
0.445,0.716,-12.041,0.848,0.825,124.472
0.71,0.434,-6.78,0.13,0.385,103.271
0.589,0.8959999999999999,-3.5780000000000003,0.141,0.363,86.04299999999999
0.4479999999999999,0.6859999999999999,-7.411,0.107,0.228,123.641
0.6779999999999999,0.181,-10.56,0.1119999999999999,0.0684,118.035
0.591,0.515,-6.004,0.0723,0.562,113.994
0.723,0.503,-15.835,0.14,0.956,138.944
0.211,0.02,-27.685,0.1009999999999999,0.3,199.759
0.591,0.759,-3.785,0.108,0.235,130.043
0.946,0.772,-7.537000000000001,0.0612,0.743,116.972
0.884,0.3879999999999999,-13.199000000000002,0.103,0.2189999999999999,136.007
0.314,0.268,-11.24,0.106,0.391,79.27600000000001
0.175,0.0475,-29.131,0.0917,0.0453,122.427
0.475,0.322,-10.687,0.11,0.387,93.503
0.496,0.863,-4.1530000000000005,0.639,0.243,110.018
0.662,0.884,-4.104,0.087,0.484,128.029
0.496,0.1009999999999999,-22.118,0.105,0.62,59.551
0.725,0.561,-10.348,0.14,0.809,91.628
0.113,0.124,-24.054,0.218,0.0717,72.062
0.773,0.622,-11.283,0.0632,0.8320000000000001,105.538
0.3989999999999999,0.3379999999999999,-13.026,0.103,0.335,134.52
0.7659999999999999,0.8140000000000001,-4.131,0.0719,0.308,124.017
0.72,0.7909999999999999,-4.689,0.157,0.7559999999999999,102.071
0.4579999999999999,0.319,-14.533,0.1669999999999999,0.115,186.615
0.477,0.14,-13.396,0.109,0.148,95.678
0.698,0.664,-10.923,0.136,0.8009999999999999,111.863
0.665,0.128,-21.172,0.0979,0.413,104.434
0.6709999999999999,0.0705,-18.373,0.0918,0.695,169.674
0.937,0.648,-6.047000000000001,0.18,0.631,135.895
0.602,0.885,-4.659,0.16,0.883,103.546
0.7020000000000001,0.608,-6.843,0.129,0.597,75.012
0.588,0.397,-16.155,0.297,0.178,129.97299999999998
0.682,0.4429999999999999,-11.347,0.3339999999999999,0.5429999999999999,120.974
0.797,0.607,-6.457999999999999,0.109,0.613,100.98
0.447,0.932,-4.7,0.0536,0.846,166.484
0.317,0.57,-5.331,0.145,0.322,84.25299999999999
0.804,0.928,-7.827000000000001,0.135,0.8009999999999999,94.964
0.715,0.6659999999999999,-5.715,0.38,0.901,124.998
0.493,0.921,-5.471,0.0749,0.414,108.02
0.511,0.477,-8.144,0.113,0.265,143.851
0.513,0.4479999999999999,-6.961,0.1009999999999999,0.126,97.07
0.215,0.0397,-32.43,0.118,0.204,173.678
0.7240000000000001,0.498,-4.563,0.0996,0.8690000000000001,169.976
0.789,0.728,-7.869,0.3339999999999999,0.645,124.995
0.647,0.8,-5.384,0.3339999999999999,0.942,160.078
0.7509999999999999,0.501,-12.151,0.0467,0.902,167.05700000000002
0.0767,0.0116,-28.464,0.1169999999999999,0.035,73.749
0.4539999999999999,0.462,-8.267000000000001,0.109,0.223,124.902
0.6609999999999999,0.732,-5.2,0.211,0.31,126.004
0.812,0.7090000000000001,-7.857,0.0993,0.908,91.928
0.7559999999999999,0.757,-7.167999999999999,0.1989999999999999,0.4539999999999999,116.979
0.735,0.831,-5.898,0.291,0.7559999999999999,123.017
0.22,0.708,-9.051,0.102,0.4529999999999999,66.214
0.563,0.5920000000000001,-4.571000000000001,0.132,0.136,104.016
0.637,0.358,-9.086,0.23,0.6920000000000001,79.183
0.5429999999999999,0.485,-6.85,0.12,0.371,136.961
0.532,0.00248,-28.933000000000003,0.0998,0.153,50.848
0.506,0.69,-6.077999999999999,0.214,0.938,94.478
0.36,0.0714,-23.33,0.0969,0.195,116.016
0.579,0.872,-6.126,0.0935,0.7609999999999999,76.214
0.151,0.0451,-26.128,0.0796,0.068,83.874
0.535,0.677,-6.875,0.243,0.94,133.88299999999998
0.5,0.292,-8.554,0.188,0.37,145.879
0.4379999999999999,0.178,-9.402,0.316,0.344,75.248
0.4429999999999999,0.91,-3.129,0.124,0.804,169.903
0.6,0.8109999999999999,-7.956,0.245,0.467,126.071
0.64,0.8640000000000001,-6.5760000000000005,0.123,0.7,102.026
0.522,0.679,-7.88,0.1009999999999999,0.2189999999999999,91.014
0.746,0.1009999999999999,-19.888,0.3939999999999999,0.68,59.994
0.502,0.515,-13.046,0.148,0.0592,120.03
0.4429999999999999,0.0038799999999999,-31.576,0.0958,0.367,70.292
0.644,0.292,-18.486,0.0994,0.494,127.216
0.5920000000000001,0.8370000000000001,-5.7410000000000005,0.108,0.66,113.995
0.7559999999999999,0.589,-7.305,0.158,0.305,122.057
0.2769999999999999,0.962,-3.408,0.354,0.355,95.056
0.653,0.69,-5.003,0.136,0.652,110.214
0.179,0.386,-16.369,0.8440000000000001,0.00238,89.045
0.696,0.7090000000000001,-7.641,0.1119999999999999,0.622,80.23100000000001
0.369,0.901,-4.468999999999999,0.152,0.0876,120.271
0.1639999999999999,0.652,-22.063,0.964,0.00535,80.297
0.7859999999999999,0.813,-8.979,0.109,0.302,125.988
0.6,0.648,-4.955,0.0935,0.332,120.002
0.575,0.471,-12.923,0.0994,0.055,97.272
0.647,0.7829999999999999,-7.712999999999999,0.0635,0.924,112.373
0.721,0.316,-11.469,0.0958,0.669,118.535
0.3929999999999999,0.486,-10.908,0.0992,0.467,169.50599999999997
0.632,0.537,-9.043,0.106,0.0942,129.983
0.49,0.8109999999999999,-2.524,0.0899,0.547,125.965
0.6940000000000001,0.7120000000000001,-3.923,0.211,0.799,98.022
0.505,0.0671,-22.562,0.131,0.258,72.796
0.4629999999999999,0.701,-5.893,0.055,0.335,84.601
0.514,0.088,-18.182,0.145,0.148,92.069
0.4529999999999999,0.736,-8.651,0.373,0.091,139.966
0.521,0.265,-18.229,0.0676,0.392,77.51899999999999
0.785,0.4679999999999999,-7.457000000000001,0.1009999999999999,0.589,168.02900000000002
0.526,0.385,-13.755,0.0935,0.212,120.008
0.754,0.349,-14.519,0.144,0.7759999999999999,106.013
0.75,0.9,-3.604,0.0558,0.56,124.98
0.65,0.738,-6.46,0.206,0.336,119.827
0.62,0.718,-6.127000000000001,0.2,0.482,164.987
0.821,0.527,-9.574,0.0848,0.902,109.123
0.6829999999999999,0.7509999999999999,-10.184,0.248,0.841,103.036
0.5670000000000001,0.434,-12.755,0.115,0.254,82.459
0.204,0.0799,-22.987,0.0864,0.124,74.45
0.6409999999999999,0.28,-13.989,0.114,0.143,168.06400000000002
0.7120000000000001,0.8220000000000001,-3.728,0.239,0.469,91.011
0.682,0.389,-11.072,0.341,0.165,125.004
0.6459999999999999,0.517,-8.991,0.11,0.501,97.818
0.669,0.396,-8.724,0.0913,0.546,86.927
0.664,0.945,-3.846,0.2739999999999999,0.718,170.013
0.632,0.8759999999999999,-5.21,0.0537,0.738,140.967
0.5539999999999999,0.7829999999999999,-5.852,0.631,0.813,105.39
0.8370000000000001,0.351,-12.984000000000002,0.104,0.516,114.964
0.133,0.00512,-33.295,0.0954,0.0495,67.818
0.337,0.809,-2.969,0.319,0.319,145.879
0.491,0.7759999999999999,-3.887,0.146,0.428,154.988
0.132,0.00869,-30.782,0.0988,0.0392,77.542
0.584,0.7,-4.275,0.0939,0.4379999999999999,124.944
0.211,0.252,-20.785,0.0769,0.0377,77.372
0.552,0.517,-15.529000000000002,0.561,0.285,120.008
0.528,0.421,-16.302,0.159,0.763,85.449
0.395,0.147,-19.174,0.0724,0.1669999999999999,164.176
0.8,0.802,-5.439,0.0971,0.82,97.586
0.611,0.23,-16.498,0.1369999999999999,0.387,117.673
0.77,0.915,-3.616,0.248,0.773,134.013
0.71,0.482,-5.537000000000001,0.105,0.85,99.972
0.758,0.862,-4.217,0.216,0.962,94.885
0.405,0.603,-6.026,0.15,0.353,76.991
0.784,0.957,-10.059,0.11,0.4379999999999999,125.999
0.815,0.518,-6.593999999999999,0.104,0.877,151.891
0.418,0.945,-5.406000000000001,0.23,0.696,181.174
0.236,0.0536,-22.153,0.0819999999999999,0.0585,59.472
0.472,0.066,-17.374000000000002,0.255,0.13,106.106
0.55,0.8740000000000001,-4.046,0.206,0.318,121.61
0.555,0.24,-17.224,0.111,0.437,136.951
0.662,0.7390000000000001,-5.354,0.113,0.382,130.999
0.551,0.214,-17.887,0.1119999999999999,0.0471,140.033
0.42,0.429,-10.9,0.0633,0.3,113.277
0.5579999999999999,0.109,-15.961,0.128,0.0575,69.854
0.799,0.4429999999999999,-9.183,0.416,0.547,95.025
0.369,0.00543,-27.261,0.0988,0.106,70.663
0.512,0.884,-5.659,0.0763,0.649,154.019
0.509,0.0587,-27.114,0.125,0.529,132.392
0.672,0.735,-4.7330000000000005,0.242,0.754,115.741
0.3379999999999999,0.118,-14.273,0.11,0.0494,208.399
0.357,0.141,-14.922,0.0928,0.135,122.604
0.7040000000000001,0.758,-3.537,0.0924,0.534,120.003
0.241,0.97,-4.246,0.904,0.621,159.93
0.505,0.0171,-24.684,0.1169999999999999,0.238,135.561
0.8340000000000001,0.738,-6.904,0.0797,0.6559999999999999,89.99
0.687,0.5770000000000001,-7.801,0.108,0.606,91.988
0.5379999999999999,0.376,-7.167000000000001,0.1009999999999999,0.579,103.647
0.5820000000000001,0.39,-13.825,0.265,0.462,92.274
0.425,0.852,-5.607,0.0935,0.512,101.968
0.882,0.767,-10.314,0.434,0.968,126.889
0.41,0.0105,-25.507,0.104,0.12,65.255
0.4479999999999999,0.35,-16.239,0.0842,0.2339999999999999,177.27900000000002
0.632,0.103,-19.543,0.107,0.2769999999999999,124.984
0.552,0.0127,-33.31,0.109,0.482,58.874
0.598,0.6459999999999999,-4.862,0.0886,0.162,77.48100000000001
0.753,0.777,-7.318,0.12,0.8909999999999999,99.798
0.731,0.918,-4.774,0.249,0.7440000000000001,147.065
0.105,0.104,-18.983,0.0991,0.0317,86.801
0.705,0.882,-3.201,0.0934,0.7,130.0
0.583,0.499,-10.267,0.103,0.128,79.99600000000001
0.488,0.493,-7.87,0.353,0.3989999999999999,79.442
0.624,0.746,-8.593,0.1,0.2739999999999999,141.289
0.5820000000000001,0.26,-10.886,0.0957,0.446,79.55199999999999
0.33,0.00379,-26.367,0.0987,0.128,62.078
0.782,0.7959999999999999,-4.982,0.728,0.909,142.004
0.311,0.376,-12.628,0.073,0.442,78.919
0.4539999999999999,0.555,-8.978,0.0479,0.377,84.72200000000001
0.5660000000000001,0.711,-4.315,0.142,0.542,171.642
0.626,0.0295,-25.734,0.1169999999999999,0.682,97.391
0.565,0.527,-5.035,0.103,0.231,91.989
0.741,0.634,-6.849,0.133,0.77,99.815
0.41,0.0735,-30.013,0.159,0.252,132.722
0.49,0.316,-9.272,0.103,0.316,105.061
0.6409999999999999,0.324,-5.851,0.3279999999999999,0.273,110.184
0.346,0.0192,-33.791,0.104,0.442,88.759
0.6579999999999999,0.145,-21.093000000000004,0.0948,0.916,104.993
0.7,0.631,-8.377,0.376,0.49,78.92399999999999
0.818,0.51,-9.173,0.1009999999999999,0.5920000000000001,92.045
0.627,0.331,-14.288,0.0819,0.38,133.93
0.563,0.89,-7.349,0.288,0.895,86.436
0.537,0.118,-17.55,0.1159999999999999,0.235,132.161
0.551,0.696,-6.192,0.127,0.354,112.024
0.516,0.0553,-27.568,0.0971,0.564,144.72799999999998
0.534,0.863,-4.6160000000000005,0.144,0.374,98.006
0.599,0.7609999999999999,-6.8870000000000005,0.349,0.7120000000000001,77.015
0.313,0.185,-17.131,0.119,0.171,135.907
0.532,0.662,-8.093,0.425,0.368,110.698
0.7,0.6970000000000001,-5.249,0.104,0.409,83.95100000000001
0.7290000000000001,0.725,-6.723,0.248,0.685,80.52600000000001
0.165,0.0345,-27.332,0.111,0.0325,129.093
0.475,0.203,-18.915,0.106,0.0839,112.002
0.545,0.301,-14.99,0.114,0.313,83.97399999999999
0.375,0.114,-24.786,0.098,0.379,89.40299999999999
0.408,0.0361,-20.336,0.103,0.1009999999999999,118.208
0.779,0.72,-4.702,0.212,0.62,94.021
0.54,0.0466,-26.103,0.1159999999999999,0.0577,130.041
0.145,0.00849,-32.037,0.121,0.0324,67.243
0.5870000000000001,0.482,-10.834,0.144,0.265,86.82700000000001
0.126,0.104,-21.064,0.0995,0.0626,172.02599999999998
0.351,0.847,-5.215,0.241,0.264,174.43900000000002
0.311,0.0253,-30.561,0.123,0.251,116.816
0.74,0.451,-13.428,0.098,0.913,141.697
0.595,0.384,-12.114,0.0796,0.691,90.726
0.688,0.505,-11.77,0.1009999999999999,0.0699,118.003
0.8140000000000001,0.883,-7.636,0.206,0.7190000000000001,119.978
0.8079999999999999,0.174,-14.565,0.103,0.2769999999999999,136.202
0.679,0.693,-10.519,0.0315,0.939,115.779
0.557,0.18,-15.417,0.498,0.456,85.963
0.433,0.46,-10.441,0.175,0.536,77.525
0.665,0.721,-9.164,0.0694,0.534,109.975
0.43,0.96,-2.721,0.0617,0.4539999999999999,151.92
0.623,0.251,-13.098,0.1159999999999999,0.5579999999999999,162.013
0.508,0.528,-13.241,0.119,0.542,94.745
0.601,0.178,-17.512,0.23,0.888,75.656
0.556,0.8290000000000001,-5.122999999999999,0.29,0.7929999999999999,134.382
0.787,0.78,-5.023,0.0908,0.68,95.035
0.737,0.7829999999999999,-2.983,0.114,0.149,90.01899999999999
0.779,0.669,-4.553,0.127,0.867,129.97799999999998
0.7559999999999999,0.667,-6.83,0.134,0.368,123.023
0.291,0.0366,-28.232,0.104,0.158,201.604
0.7040000000000001,0.64,-6.697,0.155,0.555,94.077
0.625,0.831,-2.186,0.0783,0.491,121.025
0.499,0.0616,-21.406,0.11,0.147,62.42
0.748,0.755,-7.28,0.0628,0.8859999999999999,98.284
0.257,0.299,-9.991,0.0611,0.179,171.704
0.723,0.541,-4.752,0.1009999999999999,0.49,89.92299999999999
0.926,0.542,-5.064,0.0877,0.564,135.14
0.617,0.421,-14.231,0.125,0.39,131.653
0.326,0.0244,-31.443,0.106,0.3879999999999999,111.527
0.611,0.983,-3.12,0.1119999999999999,0.727,109.387
0.225,0.0972,-21.852,0.0913,0.0793,103.212
0.7190000000000001,0.7340000000000001,-7.607,0.161,0.496,202.078
0.644,0.0975,-17.301,0.11,0.3979999999999999,124.951
0.353,0.0993,-25.317,0.121,0.123,138.135
0.7390000000000001,0.809,-5.134,0.0856,0.866,89.734
0.892,0.634,-8.026,0.142,0.65,115.034
0.225,0.0998,-28.557,0.1169999999999999,0.0377,69.303
0.547,0.257,-12.358,0.0935,0.1689999999999999,75.752
0.491,0.511,-9.237,0.182,0.618,87.39399999999999
0.299,0.0927,-21.554,0.1939999999999999,0.145,94.891
0.332,0.251,-11.459,0.108,0.14,113.026
0.884,0.747,-5.555,0.0706,0.6629999999999999,125.134
0.532,0.335,-13.643,0.0945,0.2,80.11
0.259,0.311,-19.27,0.0948,0.207,113.264
0.784,0.496,-5.746,0.113,0.132,100.002
0.247,0.76,-7.944,0.1159999999999999,0.6459999999999999,186.379
0.481,0.134,-17.099,0.0992,0.0753,120.27
0.262,0.00716,-32.288000000000004,0.111,0.265,160.852
0.552,0.727,-8.437000000000001,0.0545,0.68,165.025
0.562,0.498,-10.617,0.111,0.504,86.024
0.578,0.866,-3.804,0.257,0.619,128.03799999999998
0.417,0.437,-11.917,0.163,0.0366,101.878
0.7340000000000001,0.978,-4.5680000000000005,0.358,0.845,116.082
0.6890000000000001,0.267,-13.808,0.11,0.228,117.791
0.612,0.68,-7.454,0.322,0.22,82.051
0.6829999999999999,0.741,-5.283,0.233,0.585,150.998
0.17,0.0038799999999999,-22.555,0.104,0.0588,71.221
0.893,0.6409999999999999,-5.944,0.0791,0.7859999999999999,129.995
0.187,0.0298,-28.044,0.0916,0.0395,121.827
0.485,0.718,-5.132999999999999,0.103,0.233,86.838
0.899,0.528,-5.442,0.105,0.456,100.037
0.652,0.911,-4.168,0.132,0.518,160.045
0.679,0.5529999999999999,-14.687,0.139,0.946,109.071
0.138,0.0055299999999999,-33.681999999999995,0.11,0.0384,69.831
0.536,0.322,-12.834,0.113,0.236,135.5
0.32,0.00892,-29.206,0.11,0.3379999999999999,91.366
0.174,0.138,-21.229,0.111,0.0393,82.149
0.752,0.5489999999999999,-10.532,0.0582,0.6579999999999999,105.126
0.515,0.426,-7.935,0.121,0.319,184.145
0.78,0.261,-9.626,0.238,0.639,92.105
0.804,0.674,-12.884,0.0512,0.899,122.295
0.581,0.451,-14.681,0.266,0.35,86.785
0.412,0.109,-16.518,0.108,0.2339999999999999,76.03399999999999
0.7490000000000001,0.82,-6.114,0.0775,0.534,120.066
0.5670000000000001,0.0249,-21.912,0.0761,0.2019999999999999,134.616
0.835,0.601,-3.871,0.0861,0.762,92.02
0.503,0.265,-15.913,0.0867,0.522,78.044
0.419,0.182,-14.567,0.0934,0.0588,146.094
0.65,0.28,-7.442,0.106,0.103,119.939
0.6679999999999999,0.473,-15.402,0.115,0.962,91.976
0.539,0.779,-4.138999999999999,0.386,0.705,164.02900000000002
0.536,0.57,-6.664,0.276,0.8109999999999999,203.278
0.4429999999999999,0.497,-8.99,0.083,0.257,74.189
0.6890000000000001,0.841,-3.74,0.14,0.906,167.89700000000002
0.294,0.356,-11.963,0.0995,0.492,178.083
0.562,0.3289999999999999,-8.556000000000001,0.562,0.502,148.524
0.619,0.0117,-27.467,0.177,0.629,72.917
0.6,0.504,-9.761,0.1369999999999999,0.547,78.961
0.3279999999999999,0.185,-12.1,0.1169999999999999,0.0923,71.454
0.395,0.252,-13.589,0.1009999999999999,0.126,177.679
0.722,0.867,-3.652,0.123,0.893,102.009
0.3389999999999999,0.214,-11.714,0.341,0.363,94.775
0.569,0.8959999999999999,-2.613,0.684,0.561,175.905
0.7040000000000001,0.884,-6.275,0.0492,0.964,93.058
0.131,0.05,-28.976,0.8420000000000001,0.0036799999999999,81.86399999999999
0.703,0.638,-5.019,0.107,0.425,125.983
0.75,0.4039999999999999,-10.178,0.0911,0.0499,95.045
0.564,0.0515,-15.118,0.114,0.214,93.961
0.6609999999999999,0.3429999999999999,-12.409,0.142,0.321,92.092
0.569,0.184,-12.842,0.114,0.309,110.916
0.512,0.996,-2.1,0.347,0.0601,130.931
0.6409999999999999,0.324,-5.851,0.3279999999999999,0.273,110.184
0.306,0.00237,-29.645,0.129,0.148,67.419
0.7659999999999999,0.64,-8.72,0.125,0.619,92.009
0.623,0.201,-11.71,0.103,0.54,77.002
0.85,0.3879999999999999,-10.674,0.171,0.41,171.013
0.503,0.943,-7.367999999999999,0.8059999999999999,0.1989999999999999,115.02
0.257,0.0123,-34.145,0.0949,0.0687,113.303
0.604,0.894,-4.755,0.2339999999999999,0.415,127.964
0.626,0.621,-11.059,0.2789999999999999,0.3939999999999999,133.002
0.769,0.479,-5.339,0.0914,0.8029999999999999,96.051
0.531,0.909,-4.236000000000001,0.231,0.8140000000000001,97.546
0.7140000000000001,0.816,-9.401,0.105,0.5579999999999999,103.486
0.402,0.754,-4.837,0.358,0.621,108.17
0.821,0.496,-10.959,0.0488,0.6890000000000001,120.63
0.596,0.373,-8.888,0.0776,0.599,138.579
0.262,0.928,-2.795,0.195,0.5329999999999999,161.925
0.478,0.272,-16.160999999999998,0.124,0.715,105.441
