Category_1,Store_Score,Score_1,Score_4,weekday
2,-6.192,0,112.024,5
2,-27.568,0.861,144.728,4
0,-4.616,0.0167,98.006,6
0,-6.887,4.74E-06,77.015,5
3,-17.131,0.848,135.907,6
2,-8.093,8.00E-05,110.698,5
4,-5.249,0,83.951,5
9,-6.723,0.896,80.526,5
7,-27.332,0.921,129.093,0
6,-18.915,0.915,112.002,6
2,-14.99,0.0199,83.974,5
6,-24.786,0.964,89.403,4
4,-20.336,0.118,118.208,4
6,-4.702,0,94.021,5
11,-26.103,0.884,130.041,5
0,-32.037,0.00278,67.243,6
8,-10.834,0.836,86.827,0
9,-21.064,0.978,172.026,5
2,-5.215,8.50E-06,174.439,6
2,-30.561,0.897,116.816,5
4,-13.428,0.057,141.697,6
2,-12.114,2.37E-06,90.726,5
10,-11.77,0.147,118.003,0
4,-7.636,5.05E-06,119.978,5
9,-14.565,0.584,136.202,5
2,-10.519,0.00212,115.779,5
5,-15.417,2.32E-05,85.963,5
2,-10.441,4.36E-05,77.525,5
5,-9.164,0,109.975,6
5,-2.721,0,151.92,5
2,-13.098,0.897,162.013,4
2,-13.241,7.46E-06,94.745,5
9,-17.512,0.803,75.656,4
0,-5.123,7.22E-05,134.382,5
7,-5.023,0,95.035,5
4,-2.983,0,90.019,5
11,-4.553,1.10E-05,129.978,6
6,-6.83,1.90E-05,123.023,5
5,-28.232,0.915,201.604,5
8,-6.697,0.307,94.077,6
2,-2.186,0.000483,121.025,5
0,-21.406,0.928,62.42,5
6,-7.28,0,98.284,5
10,-9.991,3.13E-06,171.704,5
2,-4.752,0,89.923,5
1,-5.064,0,135.14,5
0,-14.231,0.00227,131.653,5
7,-31.443,0.912,111.527,5
10,-3.12,0.49,109.387,6
2,-21.852,0.618,103.212,4
10,-7.607,2.63E-06,202.078,4
2,-17.301,0.949,124.951,5
5,-25.317,0.928,138.135,6
10,-5.134,2.66E-06,89.734,6
1,-8.026,0.0259,115.034,6
1,-28.557,0.921,69.303,5
0,-12.358,0.183,75.752,5
9,-9.237,0.725,87.394,5
5,-21.554,0.86,94.891,6
2,-11.459,0.848,113.026,5
9,-5.555,0,125.134,4
0,-13.643,0.961,80.11,5
0,-19.27,0.92,113.264,3
7,-5.746,0,100.002,4
11,-7.944,0.362,186.379,5
1,-17.099,9.02E-05,120.27,5
7,-32.288,0.919,160.852,5
3,-8.437,0.000172,165.025,6
4,-10.617,0.769,86.024,5
1,-3.804,0,128.038,5
7,-11.917,0.92,101.878,6
7,-4.568,0.422,116.082,5
6,-13.808,0.825,117.791,5
7,-7.454,0.00812,82.051,5
11,-5.283,4.94E-06,150.998,5
1,-22.555,0.739,71.221,4
6,-5.944,0,129.995,4
2,-28.044,0.612,121.827,5
6,-5.133,2.93E-06,86.838,6
9,-5.442,0.0101,100.037,4
11,-4.168,6.48E-06,160.045,6
3,-14.687,7.16E-06,109.071,5
0,-33.682,0.926,69.831,5
7,-12.834,2.26E-05,135.5,6
8,-29.206,0.919,91.366,5
0,-21.229,0.414,82.149,5
11,-10.532,0.115,105.126,0
2,-7.935,1.01E-06,184.145,5
2,-9.626,0,92.105,4
11,-12.884,0.00321,122.295,6
0,-14.681,0.00141,86.785,5
11,-16.518,0.00214,76.034,5
7,-6.114,0.000685,120.066,5
9,-21.912,0.881,134.616,5
11,-3.871,0.000131,92.02,4
2,-15.913,0.045,78.044,5
9,-14.567,0.835,146.094,6
4,-7.442,3.55E-06,119.939,0
10,-15.402,0,91.976,6
4,-4.139,2.71E-06,164.029,5
9,-6.664,0,203.278,4
3,-8.99,0,74.189,6
0,-3.74,0.000358,167.897,6
3,-11.963,0.205,178.083,4
3,-8.556,0,148.524,5
7,-27.467,0.968,72.917,4
5,-9.761,0,78.961,6
0,-12.1,7.30E-05,71.454,6
0,-13.589,0,177.679,6
0,-3.652,0.0052,102.009,5
4,-11.714,7.47E-06,94.775,5
8,-2.613,0,175.905,5
8,-6.275,0.000364,93.058,5
4,-28.976,0.866,81.864,5
2,-5.019,2.51E-06,125.983,5
9,-10.178,0.000357,95.045,5
11,-15.118,0.765,93.961,5
9,-12.409,0.801,92.092,4
1,-12.842,0,110.916,5
2,-2.1,0.000167,130.931,5
11,-5.851,0,110.184,5
2,-29.645,0.893,67.419,4
1,-8.72,0,92.009,5
2,-11.71,0.912,77.002,4
2,-10.674,0,171.013,5
1,-7.368,0.86,115.02,5
9,-34.145,0.92,113.303,5
5,-4.755,0.000315,127.964,5
7,-11.059,0.779,133.002,0
1,-5.339,0,96.051,5
11,-4.236,0,97.546,5
1,-9.401,8.01E-06,103.486,5
8,-4.837,0,108.17,5
7,-10.959,0.369,120.63,4
0,-8.888,0.00121,138.579,4
9,-2.795,4.76E-05,161.925,5
5,-16.161,1.91E-05,105.441,5
2,-7.648,0.00131,108.059,1
1,-4.077,0.0208,116.883,5
7,-5.91,0,92.516,6
1,-10.732,0,140.048,5
8,-14.971,0.923,115.576,4
10,-14.064,0,102.648,6
3,-28.104,0.897,74.7,5
1,-5.831,1.43E-05,140.026,4
7,-7.172,0.000149,126.004,5
5,-15.092,0.903,77.995,4
2,-4.333,3.56E-05,104.988,5
5,-20.733,0.554,105.973,0
10,-6.83,0.0715,113.034,5
0,-9.04,0,146.716,6
3,-4.104,0,94.932,5
2,-17.292,0.915,69.388,5
6,-10.777,0.00101,91.066,5
7,-7.952,0.78,93.419,0
0,-9.952,0.0163,100.01,6
2,-9.997,0.0626,81.909,6
5,-13.573,0.939,180.086,4
11,-8.095,0.00107,101.012,5
11,-13.874,0,94.636,6
8,-9.499,0,92.054,4
11,-5.658,0.867,94.306,5
0,-11.815,0.869,113.397,6
2,-8.457,0.373,111.436,5
9,-21.482,0.909,78.302,5
0,-8.233,0,70.863,5
5,-26.341,0.934,65.008,4
1,-7.283,0,110.089,5
0,-10.056,0,185.156,4
11,-8.813,0.000204,114.016,6
8,-8.442,0.769,136.954,5
3,-25.342,0.94,136,4
8,-7.064,0,119.93,6
1,-7.583,3.50E-06,74.977,4
9,-5.312,0,113.866,1
2,-5.975,2.42E-06,108.884,5
1,-3.848,0,142.774,5
11,-10.885,0,111.979,5
10,-22.661,0.964,70.348,4
1,-2.555,0.309,139.941,5
1,-5.941,0.814,126.04,5
1,-3.445,0,129.841,5
5,-4.662,0,160.019,5
5,-5.446,1.01E-06,141.913,5
2,-13.201,0.808,122.81,5
9,-28.018,0.909,77.027,5
5,-17.901,0.936,114.414,4
1,-7.935,1.79E-06,99.99,5
7,-13.504,0.000554,76.232,6
0,-18.852,0.297,111.938,6
11,-8.866,0.00265,120.976,5
7,-7.76,0,183.085,4
7,-9.706,0.000293,131.951,6
1,-9.106,0.000641,105.795,5
9,-7.898,0,79.973,6
7,-9.063,1.25E-05,115.847,1
6,-6.336,0,91.999,6
4,-12.913,0.955,116.027,5
9,-7.96,1.48E-05,125.909,5
1,-3.85,0,149.936,5
9,-8.635,0,97.984,5
11,-7.045,0.000253,127.252,5
9,-6.738,0.102,115.048,5
0,-8.528,0.0304,137.981,5
7,-28.927,0.806,68.141,6
11,-5.728,9.86E-06,145.992,5
9,-21.559,0.821,122.971,4
7,-17.199,0.0259,81.009,5
0,-3.803,0,164.067,5
0,-23.408,0.857,70.01,4
3,-7.95,2.19E-06,91.689,5
0,-2.737,1.02E-05,173.905,5
9,-21.947,0.818,128.021,5
0,-9.99,0,127.004,5
0,-35.156,0.94,114.393,4
2,-12.237,0,147.087,6
11,-12.978,0.000201,76.536,5
8,-6.534,0,94.953,5
6,-10.734,0.875,127.965,5
2,-4.768,5.02E-06,178.996,6
7,-11.494,4.39E-05,173.828,5
0,-12.301,0.861,108.158,4
10,-4.061,0,101.93,5
9,-5.287,0,169.961,5
0,-21.546,0.9,96.73,0
0,-5.845,8.41E-05,95.055,5
8,-3.059,1.79E-05,100.049,5
2,-6.852,0,84.032,5
5,-6.394,0.00656,89.757,6
10,-26.686,0.954,87.024,5
0,-5.746,0,103.976,5
2,-26.967,0.866,98.696,4
0,-32.011,0.88,126.148,4
2,-16.346,0.889,170.031,4
2,-10.941,0,156.031,5
11,-5.173,0.00173,105.575,6
8,-10.191,0,178.893,5
6,-32.596,0.915,88.937,4
3,-5.767,0,79.971,5
0,-11.413,0.343,107.088,6
8,-6.402,0.0132,142.035,6
2,-12.579,0.916,124.753,4
9,-6.612,0,145.921,5
1,-2.721,0,93.001,5
8,-8.698,0,78.235,6
10,-6.265,0.000441,121.126,6
9,-9.361,0,86.986,6
0,-15.648,0.903,94.938,4
11,-6.928,0,144.077,5
9,-7.371,0.00539,145.563,4
11,-2.876,0,133.952,5
11,-5.766,0,168.766,5
4,-11.482,0.000227,129.877,6
8,-11.536,2.42E-05,78.837,6
0,-8.138,0.0144,141.993,6
0,-4.832,0,87.852,5
7,-28.927,0.806,68.141,6
6,-4.812,0,124.975,5
0,-23.994,0.952,146.172,4
9,-8.214,0,180.001,5
9,-5.177,0,171.738,4
7,-4.659,0,106.253,6
0,-3.161,0.0925,130.466,4
10,-7.801,0.841,91.988,4
5,-27.812,0.912,78.601,5
9,-4.533,0,86.806,4
7,-30.596,0.916,133.722,4
1,-4.778,0.000431,183.982,5
4,-14.4,0.929,73.917,4
1,-13.442,0.86,75.128,4
2,-29.056,0.932,77.538,6
0,-21.614,0.818,88.094,6
9,-19.175,0.909,119.278,6
6,-5.12,0,138.058,5
9,-34.031,0.933,148.188,5
0,-10.657,0.00043,138.607,5
7,-27.584,0.924,122.789,4
11,-7.975,0,77.978,5
0,-7.569,5.91E-06,99.932,4
4,-7.201,0.000296,105.701,5
0,-10.439,1.30E-06,103.979,5
8,-7.644,0,124.114,5
10,-6.478,0.00287,86.05,6
3,-25.582,0.931,48.36,4
0,-8.674,8.69E-05,113.991,5
2,-6.651,0,130,5
10,-30.011,0.904,60.584,5
11,-12.65,0.477,175.918,5
9,-6.323,0,91.031,5
7,-18.377,0,101.399,5
7,-17.469,0.894,90,5
9,-23.435,0.835,79.829,4
11,-11.554,0.769,104.068,6
9,-9.03,0.142,150.074,5
8,-29.206,0.919,91.366,5
9,-3.786,0,123.972,5
2,-7.006,0,104.043,6
4,-2.986,0,128.992,5
1,-4.097,0.000698,95.932,5
2,-20.87,0.903,181.035,6
1,-5.439,1.05E-05,127.959,5
7,-12.274,0.854,121.998,6
0,-7.072,0.000242,97.993,4
7,-31.938,0.954,94.045,5
0,-7.043,0,129.961,6
11,-8.765,0.0443,118.017,5
0,-8.519,0,126.016,5
6,-8.79,7.49E-05,126.015,5
5,-7.301,0,102.078,5
2,-15.182,0.829,81.422,5
11,-9.133,0.00305,109.38,6
11,-4.969,0.00421,99.972,5
7,-6.907,0,111.96,6
1,-4.485,0.00138,127.986,5
7,-10.381,0.045,127.502,5
6,-9.647,1.84E-05,89.841,6
5,-8.027,0,152.085,5
10,-13.223,0.961,66.787,5
5,-24.889,0.585,126.783,5
0,-14.301,0.868,122.015,5
9,-10.632,0,120.531,5
0,-2.365,0.00239,126.041,5
5,-16.989,0.892,99.767,5
2,-8.745,0.399,117.007,0
2,-19.16,0.866,80.829,5
10,-7.151,0.433,96.773,6
8,-6.275,0.000364,93.058,5
9,-29.052,0.92,59.094,5
5,-5.098,0,123.063,5
8,-5.599,0,95.01,6
11,-5.584,0.648,93.834,6
8,-5.22,0.00907,127.045,5
1,-8.883,0,133.229,5
4,-25.087,0.924,111.868,5
1,-5.737,2.02E-05,92.001,5
2,-5.574,0,89.911,5
0,-11.994,0.000718,75.745,5
6,-29.957,0.94,70.478,5
9,-32.187,0.901,98.981,5
5,-15.863,0.586,89.977,4
7,-6.839,0.165,131.302,5
1,-25.086,0.951,75.806,4
9,-4.488,0.971,137.03,4
7,-23.159,0.972,132.082,4
3,-11.011,0,142.611,6
6,-5.266,1.69E-05,125.854,5
1,-34.659,0.922,63.034,4
0,-9.308,0.000791,151.867,5
3,-4.306,0,88.033,5
3,-15.802,0.53,171.862,4
8,-8.134,1.54E-05,113.325,5
1,-14.752,0.951,75.008,6
0,-3.082,0,141.82,5
2,-5.769,6.26E-06,88.001,5
6,-25.778,0.952,177.125,4
0,-9.665,0,174.533,4
7,-39.417,0.917,59.866,5
11,-15.463,0.00106,73.87,6
5,-20.229,0.973,115.27,1
5,-4.098,0,179.964,5
9,-28.941,0.912,65.229,6
3,-11.16,0.965,179.886,4
5,-22.127,0.905,121.454,5
6,-10.486,0.000282,109.995,6
8,-25.569,0.967,139.148,4
7,-7.917,0,109.976,6
0,-13.856,0.719,139.876,5
1,-5.185,3.22E-06,88.073,6
7,-6.926,0.00785,91.976,5
11,-6.39,0,104.996,5
5,-5.743,0,96.574,5
11,-13.984,0.904,89.989,5
7,-11.775,2.28E-05,115.667,6
0,-7.859,1.69E-05,116.012,5
8,-12.435,0.895,89.993,4
6,-10.467,0.000733,159.907,6
8,-5.222,3.44E-05,124.946,5
9,-7.516,0.683,126.007,5
2,-29.069,0.928,168.262,4
6,-9.13,0.00227,135.839,6
0,-27.265,0.892,72.176,5
11,-5.594,0.839,112.816,5
11,-14.17,0.00344,109.803,0
0,-4.62,0,129.95,5
11,-6.918,0,127.023,5
5,-4.596,0,95.05,5
1,-5.948,0,93.281,6
0,-25.53,0.929,69.84,4
11,-4.189,0,169.902,5
9,-8.482,0.0232,123.872,5
6,-9.416,0,140.024,5
2,-6.469,0.000733,115.692,6
1,-9.47,3.77E-06,114.423,4
11,-15.262,0.000297,83.572,5
2,-6.12,0.0296,122.969,5
2,-7.95,0,87.207,5
5,-15.477,0.903,79.97,4
9,-28.288,0.941,109.786,6
6,-9.865,0.000153,119.688,5
0,-21.254,0.00863,98.321,5
5,-19.54,0.962,153.598,6
11,-34.765,0.952,92.154,0
2,-12.334,0.777,128.977,5
9,-12.191,6.16E-06,99.365,5
9,-18.501,0.91,163.843,5
5,-4.608,0,99.961,5
5,-19.54,0.962,153.598,6
7,-6.645,8.42E-06,101.969,5
3,-28.493,0.966,63.946,4
6,-15.412,1.71E-05,138.749,6
7,-12.946,0.942,75.003,4
11,-5.981,0.939,84.958,4
9,-13.052,0.917,128.439,6
1,-9.438,0.829,123.004,5
2,-13.632,0.918,127.006,4
7,-3.811,0,132.999,5
1,-5.319,0.000712,83.763,6
9,-6.431,0,78.559,5
10,-10.636,0.000383,77.025,5
9,-9.083,0.00185,142.074,0
0,-7.272,0.000763,116,1
2,-12.518,0.00279,136.548,6
7,-20.934,0.938,66.312,6
1,-5.352,8.83E-06,103.008,5
7,-9.224,0,92.074,5
0,-8.586,0.677,158.184,0
7,-19.461,0.633,114.175,5
3,-30.891,0.89,72.799,4
10,-13.379,0.917,97.644,5
5,-20.368,0.00049,153.478,4
5,-10.298,2.23E-06,100.456,6
9,-27.676,0.93,81.154,5
2,-12.073,0,83.608,5
8,-4.662,0,91.249,5
7,-11.351,0.0439,146.057,5
5,-7.46,2.68E-05,76.175,6
0,-7.62,0,64.879,5
0,-5.339,0,88.173,6
5,-8.89,0.0221,99.989,5
9,-7.152,0,95.954,5
7,-9.674,0,131.808,5
5,-6.849,0,174.201,5
4,-9.005,0,70.859,5
1,-10.352,0.00151,103.288,5
7,-15.98,0.617,138.406,5
11,-43.244,0.88,66.325,5
2,-15.918,0.776,111.988,4
11,-7.945,0.0244,86.718,1
4,-5.469,0.000535,143.912,5
9,-9.217,0.000215,111.202,5
3,-12.271,0.732,80.017,4
2,-6.198,0.825,146.754,5
0,-23.499,0.903,43.513,5
0,-18.181,0.687,191.828,5
0,-21.232,0.851,118.025,5
7,-4.474,0,108.008,5
5,-16.989,0.892,99.767,5
7,-12.139,0.914,76.014,4
0,-24.11,0.901,110.099,4
1,-13.831,0.00753,152.996,6
8,-8.322,1.88E-05,93.432,1
9,-9.342,5.09E-05,148.117,5
4,-14.339,0.924,123.071,5
7,-2.954,2.66E-06,132.032,5
9,-7.466,0.619,82.019,4
7,-5.509,0,169.977,5
3,-19.764,0.882,88.021,5
5,-25.614,0.954,51.053,4
0,-6.476,0,109.978,5
11,-3.882,0.171,139.993,6
9,-26.635,0.936,114.664,4
8,-6.896,0,170.045,6
0,-15.612,1.32E-05,108.913,5
7,-4.683,0.000672,138.075,5
2,-10.81,0.000894,150.038,5
11,-9.799,0.00767,99.414,0
11,-13.986,0.752,66.115,5
8,-24.271,0.851,123.92,5
1,-6.721,0,82.08,6
9,-17.131,0.838,149.965,3
8,-24.007,0.000869,84.992,5
2,-12.815,0.00739,79.959,5
