Store_Ratio,Basket_Ratio,Store_Score
0.4429999999999999,0.8440000000000001,-5.414
0.887,0.161,-12.325
0.693,0.201,-9.903
0.7440000000000001,0.823,-4.1610000000000005
0.236,0.0164,-32.58
0.267,0.0322,-18.147
0.843,0.908,-3.207
0.8759999999999999,0.685,-6.06
0.638,0.182,-13.046
0.705,0.3279999999999999,-13.355
0.67,0.7140000000000001,-5.94
0.8420000000000001,0.488,-7.856
0.519,0.46,-14.53
0.503,0.967,-2.492
0.205,0.989,-4.5360000000000005
0.905,0.85,-4.83
0.478,0.485,-12.77
0.598,0.853,-5.372999999999999
0.2019999999999999,0.153,-23.773000000000003
0.301,0.012,-32.691
0.6509999999999999,0.628,-5.811
0.779,0.335,-13.055
0.613,0.642,-6.189
0.624,0.246,-16.523
0.868,0.638,-7.746
0.626,0.794,-8.891
0.5,0.0923,-17.195999999999998
0.218,0.0207,-30.989
0.598,0.809,-4.168
0.379,0.023,-29.144
0.528,0.487,-9.214
0.447,0.0848,-18.481
0.262,0.0557,-20.133
0.0674,0.0319,-25.053
0.6759999999999999,0.948,-2.628
0.471,0.3879999999999999,-17.334
0.434,0.0193,-26.368
0.318,0.508,-6.067
0.599,0.0985,-18.072
0.812,0.506,-10.729
0.741,0.8590000000000001,-5.074
0.5720000000000001,0.534,-8.466000000000001
0.698,0.114,-18.47
0.159,0.0578,-25.511
0.575,0.188,-18.758
0.351,0.8029999999999999,-7.752999999999999
0.5920000000000001,0.877,-4.05
0.568,0.522,-8.168
0.675,0.365,-10.887
0.8220000000000001,0.938,-2.7
0.7759999999999999,0.763,-8.124
0.165,0.00509,-34.734
0.584,0.408,-11.921
0.184,0.00527,-37.264
0.586,0.208,-15.224
0.166,0.0744,-21.009
0.493,0.914,-5.894
0.173,0.314,-13.002
0.631,0.597,-7.382000000000001
0.581,0.3989999999999999,-9.322
0.48,0.602,-6.335
0.557,0.0671,-20.697
0.696,0.916,-3.72
0.177,0.384,-29.537
0.5429999999999999,0.5870000000000001,-3.792
0.807,0.5489999999999999,-9.479
0.604,0.366,-7.881
0.4479999999999999,0.00504,-27.869
0.755,0.507,-11.368
0.862,0.804,-4.484
0.55,0.917,-4.575
0.598,0.636,-9.972
0.655,0.523,-7.428999999999999
0.515,0.691,-4.0280000000000005
0.877,0.61,-7.817
0.4429999999999999,0.205,-12.685
0.716,0.6559999999999999,-7.88
0.6729999999999999,0.1989999999999999,-12.351
0.203,0.00399,-35.638000000000005
0.445,0.716,-12.041
0.71,0.434,-6.78
0.589,0.8959999999999999,-3.5780000000000003
0.4479999999999999,0.6859999999999999,-7.411
0.6779999999999999,0.181,-10.56
0.591,0.515,-6.004
0.723,0.503,-15.835
0.211,0.02,-27.685
0.591,0.759,-3.785
0.946,0.772,-7.537000000000001
0.884,0.3879999999999999,-13.199000000000002
0.314,0.268,-11.24
0.175,0.0475,-29.131
0.475,0.322,-10.687
0.496,0.863,-4.1530000000000005
0.662,0.884,-4.104
0.496,0.1009999999999999,-22.118
0.725,0.561,-10.348
0.113,0.124,-24.054
0.773,0.622,-11.283
0.3989999999999999,0.3379999999999999,-13.026
0.7659999999999999,0.8140000000000001,-4.131
0.72,0.7909999999999999,-4.689
0.4579999999999999,0.319,-14.533
0.477,0.14,-13.396
0.698,0.664,-10.923
0.665,0.128,-21.172
0.6709999999999999,0.0705,-18.373
0.937,0.648,-6.047000000000001
0.602,0.885,-4.659
0.7020000000000001,0.608,-6.843
0.588,0.397,-16.155
0.682,0.4429999999999999,-11.347
0.797,0.607,-6.457999999999999
0.447,0.932,-4.7
0.317,0.57,-5.331
0.804,0.928,-7.827000000000001
0.715,0.6659999999999999,-5.715
0.493,0.921,-5.471
0.511,0.477,-8.144
0.513,0.4479999999999999,-6.961
0.215,0.0397,-32.43
0.7240000000000001,0.498,-4.563
0.789,0.728,-7.869
0.647,0.8,-5.384
0.7509999999999999,0.501,-12.151
0.0767,0.0116,-28.464
0.4539999999999999,0.462,-8.267000000000001
0.6609999999999999,0.732,-5.2
0.812,0.7090000000000001,-7.857
0.7559999999999999,0.757,-7.167999999999999
0.735,0.831,-5.898
0.22,0.708,-9.051
0.563,0.5920000000000001,-4.571000000000001
0.637,0.358,-9.086
0.5429999999999999,0.485,-6.85
0.532,0.00248,-28.933000000000003
0.506,0.69,-6.077999999999999
0.36,0.0714,-23.33
0.579,0.872,-6.126
0.151,0.0451,-26.128
0.535,0.677,-6.875
0.5,0.292,-8.554
0.4379999999999999,0.178,-9.402
0.4429999999999999,0.91,-3.129
0.6,0.8109999999999999,-7.956
0.64,0.8640000000000001,-6.5760000000000005
0.522,0.679,-7.88
0.746,0.1009999999999999,-19.888
0.502,0.515,-13.046
0.4429999999999999,0.0038799999999999,-31.576
0.644,0.292,-18.486
0.5920000000000001,0.8370000000000001,-5.7410000000000005
0.7559999999999999,0.589,-7.305
0.2769999999999999,0.962,-3.408
0.653,0.69,-5.003
0.179,0.386,-16.369
0.696,0.7090000000000001,-7.641
0.369,0.901,-4.468999999999999
0.1639999999999999,0.652,-22.063
0.7859999999999999,0.813,-8.979
0.6,0.648,-4.955
0.575,0.471,-12.923
0.647,0.7829999999999999,-7.712999999999999
0.721,0.316,-11.469
0.3929999999999999,0.486,-10.908
0.632,0.537,-9.043
0.49,0.8109999999999999,-2.524
0.6940000000000001,0.7120000000000001,-3.923
0.505,0.0671,-22.562
0.4629999999999999,0.701,-5.893
0.514,0.088,-18.182
0.4529999999999999,0.736,-8.651
0.521,0.265,-18.229
0.785,0.4679999999999999,-7.457000000000001
0.526,0.385,-13.755
0.754,0.349,-14.519
0.75,0.9,-3.604
0.65,0.738,-6.46
0.62,0.718,-6.127000000000001
0.821,0.527,-9.574
0.6829999999999999,0.7509999999999999,-10.184
0.5670000000000001,0.434,-12.755
0.204,0.0799,-22.987
0.6409999999999999,0.28,-13.989
0.7120000000000001,0.8220000000000001,-3.728
0.682,0.389,-11.072
0.6459999999999999,0.517,-8.991
0.669,0.396,-8.724
0.664,0.945,-3.846
0.632,0.8759999999999999,-5.21
0.5539999999999999,0.7829999999999999,-5.852
0.8370000000000001,0.351,-12.984000000000002
0.133,0.00512,-33.295
0.337,0.809,-2.969
0.491,0.7759999999999999,-3.887
0.132,0.00869,-30.782
0.584,0.7,-4.275
0.211,0.252,-20.785
0.552,0.517,-15.529000000000002
0.528,0.421,-16.302
0.395,0.147,-19.174
0.8,0.802,-5.439
0.611,0.23,-16.498
0.77,0.915,-3.616
0.71,0.482,-5.537000000000001
0.758,0.862,-4.217
0.405,0.603,-6.026
0.784,0.957,-10.059
0.815,0.518,-6.593999999999999
0.418,0.945,-5.406000000000001
0.236,0.0536,-22.153
0.472,0.066,-17.374000000000002
0.55,0.8740000000000001,-4.046
0.555,0.24,-17.224
0.662,0.7390000000000001,-5.354
0.551,0.214,-17.887
0.42,0.429,-10.9
0.5579999999999999,0.109,-15.961
0.799,0.4429999999999999,-9.183
0.369,0.00543,-27.261
0.512,0.884,-5.659
0.509,0.0587,-27.114
0.672,0.735,-4.7330000000000005
0.3379999999999999,0.118,-14.273
0.357,0.141,-14.922
0.7040000000000001,0.758,-3.537
0.241,0.97,-4.246
0.505,0.0171,-24.684
0.8340000000000001,0.738,-6.904
0.687,0.5770000000000001,-7.801
0.5379999999999999,0.376,-7.167000000000001
0.5820000000000001,0.39,-13.825
0.425,0.852,-5.607
0.882,0.767,-10.314
0.41,0.0105,-25.507
0.4479999999999999,0.35,-16.239
0.632,0.103,-19.543
0.552,0.0127,-33.31
0.598,0.6459999999999999,-4.862
0.753,0.777,-7.318
0.731,0.918,-4.774
0.105,0.104,-18.983
0.705,0.882,-3.201
0.583,0.499,-10.267
0.488,0.493,-7.87
0.624,0.746,-8.593
0.5820000000000001,0.26,-10.886
0.33,0.00379,-26.367
0.782,0.7959999999999999,-4.982
0.311,0.376,-12.628
0.4539999999999999,0.555,-8.978
0.5660000000000001,0.711,-4.315
0.626,0.0295,-25.734
0.565,0.527,-5.035
0.741,0.634,-6.849
0.41,0.0735,-30.013
0.49,0.316,-9.272
0.6409999999999999,0.324,-5.851
0.346,0.0192,-33.791
0.6579999999999999,0.145,-21.093000000000004
0.7,0.631,-8.377
0.818,0.51,-9.173
0.627,0.331,-14.288
0.563,0.89,-7.349
0.537,0.118,-17.55
0.551,0.696,-6.192
0.516,0.0553,-27.568
0.534,0.863,-4.6160000000000005
0.599,0.7609999999999999,-6.8870000000000005
0.313,0.185,-17.131
0.532,0.662,-8.093
0.7,0.6970000000000001,-5.249
0.7290000000000001,0.725,-6.723
0.165,0.0345,-27.332
0.475,0.203,-18.915
0.545,0.301,-14.99
0.375,0.114,-24.786
0.408,0.0361,-20.336
0.779,0.72,-4.702
0.54,0.0466,-26.103
0.145,0.00849,-32.037
0.5870000000000001,0.482,-10.834
0.126,0.104,-21.064
0.351,0.847,-5.215
0.311,0.0253,-30.561
0.74,0.451,-13.428
0.595,0.384,-12.114
0.688,0.505,-11.77
0.8140000000000001,0.883,-7.636
0.8079999999999999,0.174,-14.565
0.679,0.693,-10.519
0.557,0.18,-15.417
0.433,0.46,-10.441
0.665,0.721,-9.164
0.43,0.96,-2.721
0.623,0.251,-13.098
0.508,0.528,-13.241
0.601,0.178,-17.512
0.556,0.8290000000000001,-5.122999999999999
0.787,0.78,-5.023
0.737,0.7829999999999999,-2.983
0.779,0.669,-4.553
0.7559999999999999,0.667,-6.83
0.291,0.0366,-28.232
0.7040000000000001,0.64,-6.697
0.625,0.831,-2.186
0.499,0.0616,-21.406
0.748,0.755,-7.28
0.257,0.299,-9.991
0.723,0.541,-4.752
0.926,0.542,-5.064
0.617,0.421,-14.231
0.326,0.0244,-31.443
0.611,0.983,-3.12
0.225,0.0972,-21.852
0.7190000000000001,0.7340000000000001,-7.607
0.644,0.0975,-17.301
0.353,0.0993,-25.317
0.7390000000000001,0.809,-5.134
0.892,0.634,-8.026
0.225,0.0998,-28.557
0.547,0.257,-12.358
0.491,0.511,-9.237
0.299,0.0927,-21.554
0.332,0.251,-11.459
0.884,0.747,-5.555
0.532,0.335,-13.643
0.259,0.311,-19.27
0.784,0.496,-5.746
0.247,0.76,-7.944
0.481,0.134,-17.099
0.262,0.00716,-32.288000000000004
0.552,0.727,-8.437000000000001
0.562,0.498,-10.617
0.578,0.866,-3.804
0.417,0.437,-11.917
0.7340000000000001,0.978,-4.5680000000000005
0.6890000000000001,0.267,-13.808
0.612,0.68,-7.454
0.6829999999999999,0.741,-5.283
0.17,0.0038799999999999,-22.555
0.893,0.6409999999999999,-5.944
0.187,0.0298,-28.044
0.485,0.718,-5.132999999999999
0.899,0.528,-5.442
0.652,0.911,-4.168
0.679,0.5529999999999999,-14.687
0.138,0.0055299999999999,-33.681999999999995
0.536,0.322,-12.834
0.32,0.00892,-29.206
0.174,0.138,-21.229
0.752,0.5489999999999999,-10.532
0.515,0.426,-7.935
0.78,0.261,-9.626
0.804,0.674,-12.884
0.581,0.451,-14.681
0.412,0.109,-16.518
0.7490000000000001,0.82,-6.114
0.5670000000000001,0.0249,-21.912
0.835,0.601,-3.871
0.503,0.265,-15.913
0.419,0.182,-14.567
0.65,0.28,-7.442
0.6679999999999999,0.473,-15.402
0.539,0.779,-4.138999999999999
0.536,0.57,-6.664
0.4429999999999999,0.497,-8.99
0.6890000000000001,0.841,-3.74
0.294,0.356,-11.963
0.562,0.3289999999999999,-8.556000000000001
0.619,0.0117,-27.467
0.6,0.504,-9.761
0.3279999999999999,0.185,-12.1
0.395,0.252,-13.589
0.722,0.867,-3.652
0.3389999999999999,0.214,-11.714
0.569,0.8959999999999999,-2.613
0.7040000000000001,0.884,-6.275
0.131,0.05,-28.976
0.703,0.638,-5.019
0.75,0.4039999999999999,-10.178
0.564,0.0515,-15.118
0.6609999999999999,0.3429999999999999,-12.409
0.569,0.184,-12.842
0.512,0.996,-2.1
0.6409999999999999,0.324,-5.851
0.306,0.00237,-29.645
0.7659999999999999,0.64,-8.72
0.623,0.201,-11.71
0.85,0.3879999999999999,-10.674
0.503,0.943,-7.367999999999999
0.257,0.0123,-34.145
0.604,0.894,-4.755
0.626,0.621,-11.059
0.769,0.479,-5.339
0.531,0.909,-4.236000000000001
0.7140000000000001,0.816,-9.401
0.402,0.754,-4.837
0.821,0.496,-10.959
0.596,0.373,-8.888
0.262,0.928,-2.795
0.478,0.272,-16.160999999999998
0.637,0.7759999999999999,-7.648
0.64,0.755,-4.077
0.5820000000000001,0.718,-5.91
0.778,0.317,-10.732
0.351,0.3329999999999999,-14.970999999999998
0.721,0.539,-14.064
0.242,0.00627,-28.104
0.887,0.8759999999999999,-5.831
0.5329999999999999,0.6859999999999999,-7.172000000000001
0.731,0.307,-15.092
0.765,0.523,-4.333
0.314,0.102,-20.733
0.6759999999999999,0.7509999999999999,-6.83
0.645,0.2239999999999999,-9.04
0.645,0.672,-4.104
0.536,0.136,-17.292
0.3989999999999999,0.492,-10.777
0.6559999999999999,0.755,-7.952000000000001
0.784,0.631,-9.952
0.5579999999999999,0.768,-9.997
0.623,0.401,-13.573
0.944,0.679,-8.095
0.78,0.376,-13.874
0.897,0.556,-9.499
0.843,0.432,-5.658
0.491,0.489,-11.815
0.672,0.733,-8.457
0.141,0.0772,-21.482
0.523,0.402,-8.232999999999999
0.5870000000000001,0.042,-26.341
0.6579999999999999,0.515,-7.282999999999999
0.58,0.444,-10.056
0.885,0.581,-8.812999999999999
0.6659999999999999,0.8540000000000001,-8.442
0.292,0.0251,-25.342
0.422,0.264,-7.064
0.72,0.542,-7.582999999999999
0.516,0.7020000000000001,-5.312
0.713,0.506,-5.975
0.429,0.8340000000000001,-3.848
0.8059999999999999,0.346,-10.885
0.281,0.00943,-22.661
0.552,0.988,-2.555
0.584,0.89,-5.941
0.4529999999999999,0.914,-3.445
0.647,0.8220000000000001,-4.662
0.499,0.6920000000000001,-5.446000000000001
0.373,0.51,-13.201
0.362,0.0795,-28.018
0.17,0.22,-17.901
0.794,0.3779999999999999,-7.935
0.3429999999999999,0.264,-13.504
0.402,0.0717,-18.852
0.711,0.684,-8.866
0.74,0.787,-7.76
0.623,0.57,-9.706
0.537,0.573,-9.106
0.627,0.351,-7.898
0.509,0.407,-9.063
0.618,0.544,-6.336
0.649,0.5660000000000001,-12.913
0.672,0.434,-7.96
0.478,0.848,-3.85
0.847,0.6779999999999999,-8.635
0.7070000000000001,0.407,-7.045
0.6409999999999999,0.8420000000000001,-6.738
0.696,0.574,-8.527999999999999
0.1119999999999999,0.0264,-28.927
0.583,0.732,-5.728
0.296,0.31,-21.559
0.597,0.157,-17.199
0.687,0.873,-3.803
0.377,0.11,-23.408
0.575,0.33,-7.95
0.684,0.8079999999999999,-2.737
0.515,0.104,-21.947
0.703,0.563,-9.99
0.309,0.0259,-35.156
0.421,0.259,-12.237
0.35,0.412,-12.978
0.46,0.602,-6.534
0.677,0.363,-10.734000000000002
0.21,0.43,-4.768
0.33,0.556,-11.494000000000002
0.515,0.322,-12.300999999999998
0.755,0.81,-4.061
0.532,0.825,-5.287000000000001
0.313,0.145,-21.546
0.6890000000000001,0.521,-5.845
0.578,0.862,-3.059
0.59,0.555,-6.852
0.299,0.522,-6.394
0.3939999999999999,0.0139999999999999,-26.686
0.747,0.937,-5.746
0.569,0.0134,-26.967
0.249,0.0136,-32.011
0.66,0.159,-16.346
0.4379999999999999,0.315,-10.941
0.653,0.976,-5.172999999999999
0.324,0.1969999999999999,-10.191
0.35,0.00844,-32.596
0.561,0.596,-5.767
0.705,0.728,-11.413
0.7659999999999999,0.488,-6.402
0.691,0.357,-12.579
0.687,0.514,-6.612
0.628,0.821,-2.721
0.5920000000000001,0.725,-8.698
0.515,0.645,-6.265
0.6629999999999999,0.485,-9.361
0.6970000000000001,0.276,-15.648
0.705,0.64,-6.928
0.371,0.5820000000000001,-7.371
0.662,0.953,-2.8760000000000003
0.462,0.836,-5.766
0.58,0.4679999999999999,-11.482
0.838,0.4529999999999999,-11.536
0.767,0.8340000000000001,-8.138
0.525,0.83,-4.832
0.1119999999999999,0.0264,-28.927
0.752,0.8009999999999999,-4.812
0.675,0.0235,-23.994
0.557,0.37,-8.214
0.623,0.787,-5.1770000000000005
0.5710000000000001,0.747,-4.659
0.401,0.998,-3.161
0.687,0.5770000000000001,-7.801
0.192,0.0268,-27.812
0.319,0.974,-4.533
0.401,0.0273,-30.596
0.7120000000000001,0.696,-4.7780000000000005
0.665,0.126,-14.4
0.728,0.228,-13.442
0.639,0.0808,-29.056
0.273,0.0468,-21.614
0.465,0.257,-19.175
0.7929999999999999,0.78,-5.12
0.252,0.0436,-34.031
0.4539999999999999,0.43,-10.657
0.395,0.015,-27.584
0.636,0.3229999999999999,-7.975
0.659,0.5870000000000001,-7.569
0.4579999999999999,0.843,-7.2010000000000005
0.726,0.4639999999999999,-10.439
0.632,0.595,-7.644
0.644,0.5539999999999999,-6.478
0.535,0.0206,-25.582
0.715,0.469,-8.674
0.711,0.731,-6.651
0.2239999999999999,0.0138,-30.011
0.718,0.136,-12.65
0.706,0.7509999999999999,-6.323
0.208,0.168,-18.377
0.565,0.377,-17.469
0.484,0.0733,-23.435
0.634,0.774,-11.554
0.635,0.455,-9.03
0.32,0.00892,-29.206
0.6629999999999999,0.826,-3.786
0.7340000000000001,0.594,-7.006
0.701,0.943,-2.986
0.7070000000000001,0.866,-4.097
0.331,0.1639999999999999,-20.87
0.645,0.795,-5.439
0.672,0.638,-12.274
0.752,0.905,-7.072
0.332,0.0111,-31.938
0.705,0.705,-7.042999999999999
0.7190000000000001,0.79,-8.765
0.437,0.301,-8.519
0.3279999999999999,0.461,-8.79
0.357,0.425,-7.301
0.556,0.148,-15.182
0.787,0.607,-9.133
0.726,0.815,-4.968999999999999
0.642,0.698,-6.907
0.7340000000000001,0.7659999999999999,-4.485
0.8059999999999999,0.362,-10.380999999999998
0.523,0.564,-9.647
0.358,0.644,-8.027000000000001
0.3989999999999999,0.332,-13.223
0.258,0.129,-24.889
0.65,0.178,-14.300999999999998
0.497,0.569,-10.632
0.44,0.95,-2.365
0.216,0.196,-16.989
0.439,0.55,-8.745
0.147,0.149,-19.16
0.782,0.544,-7.151
0.7040000000000001,0.884,-6.275
0.0644,0.0435,-29.052
0.636,0.815,-5.098
0.748,0.524,-5.599
0.296,0.892,-5.584
0.5660000000000001,0.889,-5.22
0.659,0.456,-8.883
0.198,0.0899,-25.087
0.741,0.466,-5.737
0.76,0.479,-5.574
0.369,0.3,-11.994000000000002
0.51,0.0067599999999999,-29.957
0.336,0.00779,-32.187
0.669,0.368,-15.863
0.3979999999999999,0.56,-6.839
0.619,0.0746,-25.086
0.457,0.987,-4.488
0.6629999999999999,0.00652,-23.159
0.389,0.148,-11.011
0.675,0.75,-5.266
0.322,0.0028,-34.659
0.484,0.508,-9.308
0.67,0.6679999999999999,-4.306
0.637,0.314,-15.802
0.728,0.974,-8.134
0.609,0.366,-14.752
0.65,0.5579999999999999,-3.082
0.7559999999999999,0.6609999999999999,-5.769
0.195,0.111,-25.778
0.606,0.706,-9.665
0.386,0.00157,-39.417
0.5670000000000001,0.434,-15.463
0.216,0.138,-20.229
0.625,0.767,-4.098
0.342,0.0322,-28.941
0.588,0.31,-11.16
0.217,0.131,-22.127
0.642,0.483,-10.486
0.4629999999999999,0.00646,-25.569000000000003
0.843,0.447,-7.917000000000001
0.73,0.7190000000000001,-13.856
0.655,0.941,-5.185
0.61,0.665,-6.926
0.705,0.7140000000000001,-6.39
0.772,0.371,-5.742999999999999
0.636,0.442,-13.984000000000002
0.605,0.247,-11.775
0.74,0.531,-7.859
0.81,0.411,-12.435
0.356,0.317,-10.467
0.708,0.879,-5.222
0.7659999999999999,0.563,-7.516
0.1889999999999999,0.00495,-29.069000000000003
0.691,0.4539999999999999,-9.13
0.291,0.027,-27.265
0.7709999999999999,0.8809999999999999,-5.593999999999999
0.968,0.345,-14.17
0.589,0.8809999999999999,-4.62
0.852,0.812,-6.917999999999999
0.7140000000000001,0.868,-4.596
0.873,0.7190000000000001,-5.948
0.264,0.012,-25.53
0.497,0.757,-4.189
0.574,0.885,-8.482000000000001
0.741,0.516,-9.416
0.638,0.867,-6.468999999999999
0.795,0.462,-9.47
0.415,0.461,-15.262
0.637,0.8370000000000001,-6.12
0.346,0.356,-7.95
0.698,0.2239999999999999,-15.477
0.225,0.0364,-28.288
0.7040000000000001,0.429,-9.865
0.2789999999999999,0.0331,-21.254
0.478,0.0981,-19.54
0.106,0.00541,-34.765
0.6990000000000001,0.46,-12.334
0.482,0.24,-12.191
0.276,0.152,-18.501
0.765,0.89,-4.6080000000000005
0.478,0.0981,-19.54
0.664,0.7140000000000001,-6.645
0.432,0.0217,-28.493
0.377,0.147,-15.412
0.573,0.245,-12.946
0.706,0.3879999999999999,-5.981
0.537,0.203,-13.052
0.505,0.858,-9.438
0.346,0.0943,-13.632
0.54,0.931,-3.811
0.192,0.737,-5.319
0.86,0.488,-6.431
0.5589999999999999,0.172,-10.636
0.708,0.8370000000000001,-9.083
0.725,0.818,-7.272
0.616,0.351,-12.518
0.113,0.113,-20.934
0.66,0.805,-5.352
0.906,0.5670000000000001,-9.224
0.6409999999999999,0.892,-8.586
0.493,0.207,-19.461
0.407,0.0132,-30.891
0.342,0.999,-13.379
0.53,0.0871,-20.368
0.486,0.449,-10.298
0.4629999999999999,0.0623,-27.676
0.341,0.181,-12.073
0.609,0.639,-4.662
0.493,0.556,-11.351
0.7490000000000001,0.503,-7.46
0.528,0.3429999999999999,-7.62
0.594,0.7809999999999999,-5.339
0.773,0.67,-8.89
0.759,0.7709999999999999,-7.152
0.698,0.6609999999999999,-9.674
0.607,0.802,-6.849
0.4639999999999999,0.3279999999999999,-9.005
0.5479999999999999,0.519,-10.352
0.411,0.203,-15.98
0.306,0.000634,-43.244
0.8590000000000001,0.153,-15.918
0.64,0.6779999999999999,-7.945
0.521,0.6809999999999999,-5.468999999999999
0.597,0.115,-9.217
0.6920000000000001,0.425,-12.271
0.4429999999999999,0.956,-6.198
0.2739999999999999,0.0417,-23.499
0.49,0.157,-18.181
0.5660000000000001,0.349,-21.232
0.563,0.688,-4.474
0.216,0.196,-16.989
0.667,0.3279999999999999,-12.139
0.332,0.0279999999999999,-24.11
0.615,0.518,-13.831
0.7120000000000001,0.396,-8.322000000000001
0.389,0.476,-9.342
0.354,0.461,-14.339
0.583,0.898,-2.954
0.753,0.537,-7.466
0.5589999999999999,0.754,-5.509
0.285,0.0965,-19.764
0.547,0.0174,-25.614
0.83,0.585,-6.476
0.7509999999999999,0.851,-3.882
0.402,0.0396,-26.635
0.568,0.835,-6.896
0.556,0.327,-15.612
0.862,0.731,-4.683
0.5920000000000001,0.397,-10.81
0.359,0.8540000000000001,-9.799
0.68,0.0925,-13.986
0.271,0.0324,-24.271
0.502,0.477,-6.721
0.703,0.39,-17.131
0.412,0.173,-24.007
0.493,0.284,-12.815
0.437,0.275,-11.362
0.652,0.862,-2.29
0.7809999999999999,0.488,-9.401
0.778,0.465,-8.637
0.0,0.0387,-23.866
0.5710000000000001,0.698,-4.747
0.628,0.345,-12.505
0.634,0.779,-6.607
0.6829999999999999,0.902,-7.388999999999999
0.755,0.625,-7.114
0.479,0.789,-4.492
0.599,0.733,-7.058
0.447,0.0848,-18.481
0.469,0.23,-20.574
0.725,0.7040000000000001,-4.592
0.37,0.12,-25.251
0.191,0.0151,-28.454
0.7290000000000001,0.7509999999999999,-4.402
0.738,0.3229999999999999,-11.692
0.528,0.856,-4.605
0.486,0.5670000000000001,-6.456
0.424,0.0577,-25.12
0.446,0.997,-2.6860000000000004
0.472,0.406,-10.647
0.557,0.902,-4.521
0.313,0.111,-32.044000000000004
0.465,0.517,-6.189
0.585,0.52,-6.136
0.504,0.0644,-14.754
0.502,0.8170000000000001,-3.508
0.4589999999999999,0.325,-13.411
0.953,0.843,-4.27
0.629,0.492,-5.096
0.7709999999999999,0.696,-3.864
0.685,0.903,-5.745
0.638,0.489,-6.206
0.0813,0.0152,-34.026
0.528,0.38,-7.218999999999999
0.738,0.662,-7.497999999999999
0.631,0.912,-7.591
0.65,0.286,-15.878
0.562,0.0555,-19.393
0.583,0.947,-5.12
0.584,0.708,-10.039
0.611,0.52,-5.445
0.956,0.366,-6.428
0.6829999999999999,0.715,-6.024
0.66,0.193,-8.904
0.8590000000000001,0.7090000000000001,-5.924
0.593,0.56,-7.367999999999999
0.768,0.952,-2.03
0.733,0.42,-9.345
0.883,0.621,-6.063
0.0574,0.356,-31.176
0.5579999999999999,0.8590000000000001,-3.992
0.551,0.0201,-26.685
0.372,0.898,-4.425
0.644,0.523,-10.851
0.807,0.914,-5.092
0.627,0.885,-5.211
0.858,0.7859999999999999,-4.359
0.476,0.556,-9.52
0.488,0.759,-7.827000000000001
0.897,0.73,-9.589
0.6859999999999999,0.2339999999999999,-12.646
0.626,0.541,-7.615
0.367,0.0367,-23.052
0.602,0.6579999999999999,-5.934
0.52,0.248,-15.781
0.211,0.447,-17.148
0.532,0.272,-23.708
0.745,0.7829999999999999,-5.392
0.598,0.295,-8.552999999999999
0.0843,0.0040799999999999,-31.801
0.481,0.522,-7.737999999999999
0.731,0.573,-10.059
0.6609999999999999,0.75,-5.497000000000001
0.6829999999999999,0.91,-1.231
0.6659999999999999,0.354,-15.617
0.935,0.649,-5.274
0.335,0.0522,-26.91
0.8240000000000001,0.4429999999999999,-8.772
0.64,0.392,-7.246
0.6679999999999999,0.103,-16.902
0.664,0.484,-4.865
0.659,0.295,-8.527999999999999
0.58,0.846,-2.8760000000000003
0.74,0.322,-9.26
0.409,0.892,-4.373
0.475,0.478,-8.634
